"","Nome","Classe","Codigo","Setor","Subsetor","VolNegAno","PatrLiquid","Nome_indice","Valor_indice","Ano"
"186","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoLucro",25.9,"2021"
"187","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_ValorPatrim",NA,"2016"
"188","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_ValorPatrim",0.2,"2017"
"189","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_ValorPatrim",0.3,"2018"
"190","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_ValorPatrim",0.9,"2019"
"191","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_ValorPatrim",0.6,"2020"
"192","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_ValorPatrim",0.5,"2021"
"193","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoVendas",NA,"2016"
"194","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoVendas",10.3,"2017"
"195","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoVendas",11.4,"2018"
"196","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoVendas",38.4,"2019"
"197","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoVendas",29.5,"2020"
"198","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoVendas",85.6,"2021"
"199","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoEBITDA",NA,"2016"
"200","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoEBITDA",-47.9,"2017"
"201","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoEBITDA",17.6,"2018"
"202","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoEBITDA",75.4,"2019"
"203","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoEBITDA",15.8,"2020"
"204","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"PrecoEBITDA",65.1,"2021"
"205","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_FCF",NA,"2016"
"206","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_FCF",1.9,"2017"
"207","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_FCF",4.2,"2018"
"208","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_FCF",11.2,"2019"
"209","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_FCF",-4.6,"2020"
"210","Alfa Consorc","ON","BRGE3","Financeiro","Previdência e seguros",4,1235,"Preco_FCF",-20.2,"2021"
"211","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoLucro",NA,"2016"
"212","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoLucro",NA,"2017"
"213","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoLucro",NA,"2018"
"214","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoLucro",NA,"2019"
"215","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoLucro",13.1,"2020"
"216","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoLucro",NA,"2021"
"217","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"Preco_ValorPatrim",NA,"2016"
"218","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"Preco_ValorPatrim",NA,"2017"
"219","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"Preco_ValorPatrim",NA,"2018"
"220","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"Preco_ValorPatrim",NA,"2019"
"221","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"Preco_ValorPatrim",0.7,"2020"
"222","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"Preco_ValorPatrim",0.6,"2021"
"223","Alfa Financ","PN","CRIV4","Financeiro","Intermediários financeiros",5,982,"PrecoVendas",NA,"2016"
